Caudle,Adam,-3
Jones,Korvin,0
Thomson,Elias,0
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
No input,No input,-3
